participant_ID,target_y,validity,trial,phase,response,rt,Participant
P102,-0.31,invalid,33,exhale,correct,0.414384899995639,P102
P102,10,catch,34,exhale,correct,NA,P102
P102,0.31,valid,35,exhale,correct,0.485885200003395,P102
P102,-0.31,invalid,36,exhale,correct,0.432187500002328,P102
P102,0.31,invalid,37,exhale,correct,0.425281599993468,P102
P102,0.31,invalid,38,exhale,correct,0.440547999998671,P102
P102,0.31,valid,39,exhale,correct,0.478320599999279,P102
P102,0.31,invalid,40,exhale,correct,0.434914700002992,P102
P102,10,catch,41,exhale,correct,NA,P102
P102,-0.31,valid,42,exhale,correct,0.404905399991549,P102
P102,10,catch,43,exhale,correct,NA,P102
P102,0.31,invalid,44,exhale,correct,0.42132799999672,P102
P102,0.31,invalid,45,exhale,correct,0.470208800004912,P102
P102,0.31,valid,46,exhale,correct,0.39661330000672,P102
P102,-0.31,valid,47,exhale,correct,0.431019399999059,P102
P102,-0.31,invalid,48,exhale,correct,0.394645899999887,P102
P102,10,catch,49,exhale,correct,NA,P102
P102,-0.31,valid,50,exhale,correct,0.419162599995616,P102
P102,-0.31,valid,51,exhale,correct,0.524400099995546,P102
P102,-0.31,invalid,52,exhale,correct,0.607979599997634,P102
P102,-0.31,valid,53,exhale,correct,0.478479400000651,P102
P102,10,catch,54,exhale,correct,NA,P102
P102,0.31,invalid,55,exhale,correct,0.493202799989376,P102
P102,-0.31,valid,56,exhale,correct,0.436579400004121,P102
P102,0.31,valid,57,exhale,correct,0.387473099995987,P102
P102,-0.31,invalid,58,exhale,correct,0.441639600001508,P102
P102,0.31,invalid,59,exhale,correct,0.554614100008621,P102
P103,10,catch,0,exhale,correct,NA,P103
P103,10,catch,1,exhale,correct,NA,P103
P103,0.31,invalid,2,exhale,correct,0.410260899996501,P103
P103,0.31,invalid,3,exhale,correct,0.425447600006009,P103
P103,-0.31,valid,4,exhale,correct,0.433922699987306,P103
P103,-0.31,invalid,5,exhale,correct,0.426662500001839,P103
P103,0.31,valid,6,exhale,correct,0.417782899996382,P103
P103,-0.31,invalid,7,exhale,correct,0.495200100005604,P103
P103,-0.31,valid,8,exhale,correct,0.458223699999508,P103
P103,-0.31,invalid,9,exhale,correct,0.417147499989369,P103
P103,0.31,invalid,10,exhale,correct,0.465707800001837,P103
P103,-0.31,invalid,11,exhale,correct,0.397865300008561,P103
P103,0.31,valid,12,exhale,correct,0.386909799999557,P103
P103,10,catch,13,exhale,correct,NA,P103
P103,-0.31,invalid,14,exhale,correct,0.44935290000285,P103
P103,-0.31,valid,15,exhale,correct,0.460582100000465,P103
P103,10,catch,16,exhale,correct,NA,P103
P103,10,catch,17,exhale,correct,NA,P103
P103,0.31,invalid,18,exhale,correct,0.463938100001542,P103
P103,10,catch,19,exhale,correct,NA,P103
P103,0.31,invalid,20,exhale,correct,0.518378199994913,P103
P103,-0.31,valid,21,exhale,correct,0.390373000002,P103
P103,0.31,valid,22,exhale,correct,0.457139999998617,P103
P103,-0.31,invalid,23,exhale,correct,0.475278500001878,P103
P103,0.31,valid,24,exhale,correct,0.368081499997061,P103
P103,-0.31,invalid,25,exhale,correct,0.4947172000102,P103
P103,-0.31,valid,26,exhale,correct,0.384784899986698,P103
P103,0.31,valid,27,exhale,correct,0.34856879999279,P103
P103,10,catch,28,exhale,correct,NA,P103
P103,0.31,valid,29,exhale,correct,0.437717599997995,P103
P103,0.31,valid,30,exhale,correct,0.517234799990547,P103
P103,-0.31,valid,31,exhale,correct,0.494507900002645,P103
P103,0.31,valid,32,exhale,correct,0.473117700006696,P103
P103,-0.31,invalid,33,exhale,correct,0.422620599987567,P103
P103,10,catch,34,exhale,correct,NA,P103
P103,0.31,valid,35,exhale,correct,0.537010100000771,P103
P103,-0.31,invalid,36,exhale,correct,0.411909100002958,P103
P103,0.31,invalid,37,exhale,correct,0.417107299988857,P103
P103,0.31,invalid,38,exhale,correct,0.468864700000267,P103
P103,0.31,valid,39,exhale,correct,0.424906000000192,P103
P103,0.31,invalid,40,exhale,correct,0.524605200000224,P103
P103,10,catch,41,exhale,correct,NA,P103
P103,-0.31,valid,42,exhale,correct,0.502742299999227,P103
P103,10,catch,43,exhale,correct,NA,P103
P103,0.31,invalid,44,exhale,correct,0.501148399998783,P103
P103,0.31,invalid,45,exhale,correct,0.446197299999767,P103
P103,0.31,valid,46,exhale,correct,0.434408000000985,P103
P103,-0.31,valid,47,exhale,correct,0.398800299997674,P103
P103,-0.31,invalid,48,exhale,correct,0.505363799995393,P103
P103,10,catch,49,exhale,correct,NA,P103
P103,-0.31,valid,50,exhale,correct,0.589828600001056,P103
P103,-0.31,valid,51,exhale,correct,0.57729929999914,P103
P103,-0.31,invalid,52,exhale,correct,0.466484100004891,P103
P103,-0.31,valid,53,exhale,correct,0.594769900009851,P103
P103,10,catch,54,exhale,correct,NA,P103
P103,0.31,invalid,55,exhale,correct,0.490978499990888,P103
P103,-0.31,valid,56,exhale,correct,0.383375599994906,P103
P103,0.31,valid,57,exhale,correct,0.436506900005043,P103
P103,-0.31,invalid,58,exhale,correct,0.48807599999418,P103
P103,0.31,invalid,59,exhale,correct,0.432198199996492,P103
P103,10,catch,0,inhale,correct,NA,P103
P103,10,catch,1,inhale,correct,NA,P103
P103,0.31,invalid,2,inhale,correct,0.501614599997993,P103
P103,0.31,invalid,3,inhale,correct,0.471259700003429,P103
P103,-0.31,valid,4,inhale,correct,0.428089699998964,P103
P103,-0.31,invalid,5,inhale,correct,0.448483100000885,P103
P103,0.31,valid,6,inhale,correct,0.517145199992228,P103
P103,-0.31,invalid,7,inhale,correct,0.507586400010041,P103
P103,-0.31,valid,8,inhale,correct,0.37458260000858,P103
P103,-0.31,invalid,9,inhale,correct,0.417477199996938,P103
P103,0.31,invalid,10,inhale,correct,0.377696899988223,P103
P103,-0.31,invalid,11,inhale,correct,0.415940999999293,P103
P103,0.31,valid,12,inhale,correct,0.46020449999196,P103
P103,10,catch,13,inhale,correct,NA,P103
P103,-0.31,invalid,14,inhale,correct,0.431834999995772,P103
P103,-0.31,valid,15,inhale,correct,0.474445600004401,P103
P103,10,catch,16,inhale,correct,NA,P103
P103,10,catch,17,inhale,correct,NA,P103
P103,0.31,invalid,18,inhale,correct,0.466089900000952,P103
P103,10,catch,19,inhale,correct,NA,P103
P103,0.31,invalid,20,inhale,correct,0.441228199997568,P103
P103,-0.31,valid,21,inhale,correct,0.473220600004424,P103
P103,0.31,valid,22,inhale,correct,0.501534499999252,P103
P103,-0.31,invalid,23,inhale,correct,0.561369599992759,P103
P103,0.31,valid,24,inhale,correct,0.67225440000766,P103
P103,-0.31,invalid,25,inhale,correct,0.506424299994251,P103
P103,-0.31,valid,26,inhale,correct,1.08425919999718,P103
P103,0.31,valid,27,inhale,correct,0.46522620000178,P103
P103,10,catch,28,inhale,correct,NA,P103
P103,0.31,valid,29,inhale,correct,0.471483500004979,P103
P103,0.31,valid,30,inhale,correct,0.476578599991626,P103
P103,-0.31,valid,31,inhale,correct,0.40217210000264503,P103
P103,0.31,valid,32,inhale,correct,0.321071400001529,P103
P103,-0.31,invalid,33,inhale,correct,0.521111900001415,P103
P103,10,catch,34,inhale,correct,NA,P103
P103,0.31,valid,35,inhale,correct,0.433910899999319,P103
P103,-0.31,invalid,36,inhale,correct,0.507995100007975,P103
P103,0.31,invalid,37,inhale,correct,0.316678299990599,P103
P103,0.31,invalid,38,inhale,correct,0.454887899992173,P103
P103,0.31,valid,39,inhale,correct,0.360338099999353,P103
P103,0.31,invalid,40,inhale,correct,0.350787099989248,P103
P103,10,catch,41,inhale,correct,NA,P103
P103,-0.31,valid,42,inhale,correct,0.488343299992266,P103
P103,10,catch,43,inhale,correct,NA,P103
P103,0.31,invalid,44,inhale,correct,0.494941400000243,P103
P103,0.31,invalid,45,inhale,correct,0.466728100000182,P103
P103,0.31,valid,46,inhale,correct,0.452186899987282,P103
P103,-0.31,valid,47,inhale,correct,0.414598200004548,P103
P103,-0.31,invalid,48,inhale,correct,0.536146600003121,P103
P103,10,catch,49,inhale,correct,NA,P103
P103,-0.31,valid,50,inhale,correct,0.462474400002975,P103
P103,-0.31,valid,51,inhale,correct,0.300725199995213,P103
P103,-0.31,invalid,52,inhale,correct,0.505630200001178,P103
P103,-0.31,valid,53,inhale,correct,0.570428700011689,P103
P103,10,catch,54,inhale,correct,NA,P103
P103,0.31,invalid,55,inhale,correct,0.393021099996986,P103
P103,-0.31,valid,56,inhale,correct,0.49184800000512,P103
P103,0.31,valid,57,inhale,correct,0.492874200004735,P103
P103,-0.31,invalid,58,inhale,correct,0.463613199986867,P103
P103,0.31,invalid,59,inhale,correct,0.440847899997607,P103
P104,10,catch,0,exhale,correct,NA,P104
P104,10,catch,1,exhale,correct,NA,P104
P104,0.31,invalid,2,exhale,correct,0.394349900001544,P104
P104,0.31,invalid,3,exhale,correct,0.497007400001166,P104
P104,-0.31,valid,4,exhale,correct,0.448770099988906,P104
P104,-0.31,invalid,5,exhale,correct,0.415731699991738,P104
P104,0.31,valid,6,exhale,correct,0.357947100012098,P104
P104,-0.31,invalid,7,exhale,correct,0.371646300001885,P104
P104,-0.31,valid,8,exhale,correct,0.34910160000436,P104
P104,-0.31,invalid,9,exhale,correct,0.281236399998306,P104
P104,0.31,invalid,10,exhale,correct,0.397652899991954,P104
P104,-0.31,invalid,11,exhale,correct,0.377981700003147,P104
P104,0.31,valid,12,exhale,correct,0.676677800001926,P104
P104,10,catch,13,exhale,correct,NA,P104
P104,-0.31,invalid,14,exhale,correct,0.316243299996131,P104
P104,-0.31,valid,15,exhale,correct,0.580464899991057,P104
P104,10,catch,16,exhale,incorrect,0.306282299992745,P104
P104,10,catch,17,exhale,correct,NA,P104
P104,0.31,invalid,18,exhale,correct,0.442603999996209,P104
P104,10,catch,19,exhale,correct,NA,P104
P104,0.31,invalid,20,exhale,correct,0.398153500005719,P104
P104,-0.31,valid,21,exhale,correct,0.393071700003929,P104
P104,0.31,valid,22,exhale,correct,0.402169699998922,P104
P104,-0.31,invalid,23,exhale,correct,0.491309699995327,P104
P104,0.31,valid,24,exhale,correct,0.35035500000231,P104
P104,-0.31,invalid,25,exhale,correct,0.337610100003076,P104
P104,-0.31,valid,26,exhale,correct,0.405484100003378,P104
P104,0.31,valid,27,exhale,correct,0.360886499998742,P104
P104,10,catch,28,exhale,correct,NA,P104
P104,0.31,valid,29,exhale,correct,0.35785250000481,P104
P104,0.31,valid,30,exhale,correct,0.352235899990774,P104
P104,-0.31,valid,31,exhale,correct,0.348771899996791,P104
P104,0.31,valid,32,exhale,correct,0.354814699996496,P104
P104,-0.31,invalid,33,exhale,correct,0.370947000003071,P104
P104,10,catch,34,exhale,correct,NA,P104
P104,0.31,valid,35,exhale,correct,0.36809039999207,P104
P104,-0.31,invalid,36,exhale,correct,0.412572500004899,P104
P104,0.31,invalid,37,exhale,correct,0.378645599994343,P104
P104,0.31,invalid,38,exhale,correct,0.367460900000879,P104
P104,0.31,valid,39,exhale,correct,0.337759300004109,P104
P104,0.31,invalid,40,exhale,correct,0.534814400001778,P104
P104,10,catch,41,exhale,correct,NA,P104
P104,-0.31,valid,42,exhale,correct,0.384338800009573,P104
P104,10,catch,43,exhale,correct,NA,P104
P104,0.31,invalid,44,exhale,correct,0.357328700003563,P104
P104,0.31,invalid,45,exhale,correct,0.367251600007876,P104
P104,0.31,valid,46,exhale,correct,0.318476200001896,P104
P104,-0.31,valid,47,exhale,correct,0.433427199997823,P104
P104,-0.31,invalid,48,exhale,correct,0.445660600002157,P104
P104,10,catch,49,exhale,correct,NA,P104
P104,-0.31,valid,50,exhale,correct,0.364438400007202,P104
