participant_ID,position,trial,phase,response,rt
P104,catch,36,exhale,correct,NA
P104,up,37,inhale,correct,0.267665399999714
P104,down,38,exhale,correct,0.419579700000213
P104,down,39,inhale,correct,0.365164900000309
P104,left,40,exhale,correct,0.371019400000478
P104,down,41,inhale,correct,0.40321589999985
P104,catch,42,exhale,correct,NA
P104,up,43,inhale,correct,0.285160399999768
P104,down,44,exhale,correct,0.467320199999449
P104,up,45,inhale,correct,0.365148699999736
P104,catch,46,exhale,correct,NA
P104,right,47,inhale,correct,0.308751699999448
P104,right,48,exhale,correct,0.353845300000103
P104,left,49,inhale,correct,0.389382000000296
P104,right,50,exhale,correct,0.347583499999928
P104,catch,51,inhale,correct,NA
P104,up,52,exhale,correct,0.397173199999997
P104,left,53,inhale,correct,0.396847799999705
P104,up,54,exhale,correct,0.501111200000196
P104,left,55,inhale,correct,0.318431000000601
P104,right,56,exhale,correct,0.360457800000404
P104,down,57,inhale,correct,0.517843200000243
P104,catch,58,exhale,correct,NA
P104,down,59,inhale,correct,0.372002699999939
P105,down,0,exhale,correct,0.448214899999584
P105,right,1,exhale,correct,0.440545599998586
P105,right,2,inhale,correct,0.419129600000815
P105,up,3,exhale,correct,0.421106100000543
P105,catch,4,exhale,correct,NA
P105,catch,5,inhale,correct,NA
P105,up,6,inhale,correct,0.305994100001044
P105,left,7,exhale,correct,0.341556100000162
P105,down,8,inhale,correct,0.364905100001124
P105,left,9,exhale,correct,0.377529800000048
P105,up,10,exhale,correct,0.340665900001113
P105,catch,11,inhale,correct,NA
P105,down,12,exhale,correct,0.415286199999173
P105,left,13,exhale,correct,0.290135100000043
P105,down,14,inhale,correct,0.357063600000401
P105,up,15,exhale,correct,0.33387440000115
P105,left,16,exhale,correct,0.32768219999889
P105,right,17,inhale,correct,0.443610700000136
P105,catch,18,exhale,correct,NA
P105,right,19,exhale,correct,0.380018300000302
P105,right,20,inhale,correct,0.426708599999984
P105,catch,21,exhale,correct,NA
P105,left,22,exhale,correct,0.388205600000219
P105,left,23,inhale,correct,0.370038799999747
P105,up,24,exhale,correct,0.389740599999641
P105,down,25,inhale,correct,0.355622999999468
P105,down,26,exhale,correct,0.310793200000262
P105,catch,27,inhale,correct,NA
P105,right,28,exhale,correct,0.331934800000454
P105,up,29,inhale,correct,0.364921200000026
P105,catch,30,exhale,correct,NA
P105,up,31,exhale,correct,0.371772299999066
P105,left,32,inhale,correct,0.402276099999654
P105,down,33,exhale,correct,0.495854700000564
P105,catch,34,exhale,correct,NA
P105,right,35,inhale,correct,0.391913999999815
P105,right,36,exhale,correct,0.386798400000771
P105,left,37,inhale,correct,0.384831500001383
P105,down,38,exhale,correct,0.463186500001029
P105,up,39,inhale,correct,0.42214899999999
P105,down,40,inhale,correct,0.415471700000126
P105,up,41,exhale,correct,0.451537499999176
P105,right,42,inhale,correct,0.36171590000049
P105,catch,43,inhale,correct,NA
P105,left,44,inhale,correct,0.455399799999213
P105,down,45,exhale,correct,0.40252590000091
P105,right,46,inhale,correct,0.473264099999142
P105,up,47,exhale,correct,0.601853999998639
P105,left,48,inhale,correct,0.336342100001275
P105,catch,49,exhale,correct,NA
P105,catch,50,inhale,correct,NA
P105,up,51,inhale,correct,0.560677499999656
P105,down,52,inhale,correct,0.355773499999486
P105,down,53,exhale,correct,0.384433600000193
P105,left,54,exhale,correct,0.327548499999466
P105,up,55,inhale,correct,0.343599499999982
P105,right,56,exhale,correct,0.373735199998919
P105,left,57,inhale,correct,0.556131200000891
P105,catch,58,exhale,correct,NA
P105,right,59,inhale,correct,0.45419530000072
P105,catch,0,inhale,correct,NA
P105,up,1,exhale,correct,0.401110200000403
P105,left,2,inhale,correct,0.580107399999179
P105,down,3,exhale,correct,0.400872499998513
P105,up,4,inhale,correct,0.351041899999473
P105,right,5,exhale,correct,0.377475899998899
P105,right,6,inhale,correct,0.400620899999922
P105,catch,7,exhale,correct,NA
P105,down,8,inhale,correct,0.570583299999271
P105,left,9,exhale,correct,0.43227780000052
P105,catch,10,inhale,correct,NA
P105,up,11,exhale,correct,0.499570899999526
