participant_ID,target_x,validity,trial,phase,response,rt,Participant
P104,-0.31,valid,15,inhale,correct,0.381558699999005,P104
P104,10,catch,16,inhale,correct,NA,P104
P104,10,catch,17,inhale,correct,NA,P104
P104,0.31,invalid,18,inhale,correct,0.397140899993246,P104
P104,10,catch,19,inhale,correct,NA,P104
P104,0.31,invalid,20,inhale,correct,0.383293399994727,P104
P104,-0.31,valid,21,inhale,correct,0.374255300004734,P104
P104,0.31,valid,22,inhale,correct,0.356918000004953,P104
P104,-0.31,invalid,23,inhale,correct,0.469955199994729,P104
P104,0.31,valid,24,inhale,correct,0.36356440000236,P104
P104,-0.31,invalid,25,inhale,correct,0.355066600008286,P104
P104,-0.31,valid,26,inhale,correct,0.315859499998624,P104
P104,0.31,valid,27,inhale,correct,0.349285399992368,P104
P104,10,catch,28,inhale,correct,NA,P104
P104,0.31,valid,29,inhale,correct,0.344003499994869,P104
P104,0.31,valid,30,inhale,correct,0.355687399991439,P104
P104,-0.31,valid,31,inhale,correct,0.337161099989316,P104
P104,0.31,valid,32,inhale,correct,0.276603099991917,P104
P104,-0.31,invalid,33,inhale,correct,0.289196300000185,P104
P104,10,catch,34,inhale,correct,NA,P104
P104,0.31,valid,35,inhale,correct,0.497276699999929,P104
P104,-0.31,invalid,36,inhale,correct,0.357947800002876,P104
P104,0.31,invalid,37,inhale,correct,0.33754300000146,P104
P104,0.31,invalid,38,inhale,correct,0.374909699996351,P104
P104,0.31,valid,39,inhale,correct,0.440074800004368,P104
P104,0.31,invalid,40,inhale,correct,0.381111900001997,P104
P104,10,catch,41,inhale,correct,NA,P104
P104,-0.31,valid,42,inhale,correct,0.318685199992615,P104
P104,10,catch,43,inhale,correct,NA,P104
P104,0.31,invalid,44,inhale,correct,0.36884550000832,P104
P104,0.31,invalid,45,inhale,correct,0.393258199997945,P104
P104,0.31,valid,46,inhale,correct,0.409825499998988,P104
P104,-0.31,valid,47,inhale,correct,0.325845400002436,P104
P104,-0.31,invalid,48,inhale,correct,0.242952999993577,P104
P104,10,catch,49,inhale,correct,NA,P104
P104,-0.31,valid,50,inhale,correct,0.325436400002218,P104
P104,-0.31,valid,51,inhale,correct,0.435852499998873,P104
